Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3024,11/04/2011,5,13,43,31,14,17,16,8,1,0,1000000.00,1000000.00,15,5,50001.75,3333.45,166,14,91673.50,552.25,9656,1246,260229.20,26.95,25093,3227,358829.90,14.30
3022,04/04/2011,24,4,25,29,28,8,22,34,0,0,0.00,0.00,12,2,51412.20,4284.35,262,28,94254.50,359.75,12930,1523,267651.00,20.70,28316,3451,368108.00,13.00
3020,28/03/2011,5,44,11,9,12,1,17,25,0,0,0.00,0.00,15,2,50824.50,3388.30,306,28,93177.00,304.50,14437,1586,264197.10,18.30,32012,3729,364936.80,11.40
3018,21/03/2011,10,24,7,4,28,27,15,8,0,0,0.00,0.00,20,6,50532.00,2526.60,353,42,92644.85,262.45,15564,1698,263031.60,16.90,35716,4065,362517.40,10.15
3016,14/03/2011,33,34,24,25,10,15,8,9,0,0,0.00,0.00,9,1,49122.45,5458.05,170,44,90057.50,529.75,9068,1355,255264.20,28.15,23607,3464,351744.30,14.90
3014,07/03/2011,7,20,11,39,42,14,25,13,1,0,1000000.00,1000000.00,10,0,49029.50,4902.95,202,15,89890.00,445.00,9924,902,255046.80,25.70,26023,2233,351310.50,13.50
3012,28/02/2011,16,21,43,39,13,9,32,7,2,0,5000000.00,2500000.00,27,6,103804.20,3844.60,380,60,190304.00,500.80,19753,3067,540244.55,27.35,52884,8621,743020.20,14.05
3010,21/02/2011,32,33,15,37,3,31,16,17,0,0,0.00,0.00,11,1,54377.40,4943.40,156,19,99691.80,639.05,9753,1310,282837.00,29.00,23714,3346,390095.30,16.45
3008,14/02/2011,11,16,43,28,35,23,24,7,2,1,5240492.12,2620246.06,27,11,79955.10,2961.30,350,56,146580.00,418.80,16566,2787,415806.60,25.10,42923,6715,573022.05,13.35
3006,07/02/2011,44,27,23,20,4,31,41,37,0,0,0.00,0.00,11,0,56911.80,5173.80,218,31,104334.80,478.60,11796,1600,296079.60,25.10,26502,4034,408130.80,15.40
3004,31/01/2011,27,9,13,8,14,31,36,11,0,0,0.00,0.00,17,3,47834.60,2813.80,272,32,87692.80,322.40,12338,1497,248610.70,20.15,31030,3548,342881.50,11.05
3002,24/01/2011,13,31,14,43,29,39,15,28,0,0,0.00,0.00,7,2,49183.05,7026.15,168,23,90165.60,536.70,9206,1176,255926.80,27.80,22415,2884,353036.25,15.75
3000,17/01/2011,21,13,31,26,6,28,16,33,3,0,1000000.02,333333.34,14,2,49812.00,3558.00,326,26,91328.90,280.15,13144,1473,258936.80,19.70,28273,3281,357653.45,12.65
2998,10/01/2011,31,20,5,30,1,21,35,41,1,0,1000000.00,1000000.00,11,1,52488.70,4771.70,274,28,96228.80,351.20,12560,1357,273180.00,21.75,26619,3128,376658.85,14.15
2996,03/01/2011,42,38,41,19,37,28,24,16,0,0,0.00,0.00,4,0,49407.60,12351.90,179,20,90582.95,506.05,10190,1037,256788.00,25.20,19523,2116,354342.45,18.15
2994,27/12/2010,34,41,45,18,32,3,22,10,0,0,0.00,0.00,14,2,54996.20,3928.30,127,5,100825.30,793.90,8386,741,285962.60,34.10,22786,1873,394197.80,17.30
2992,20/12/2010,38,2,12,27,45,1,33,44,0,0,0.00,0.00,12,3,48889.80,4074.15,147,26,89633.25,609.75,9074,1218,254072.00,28.00,20476,2663,350139.60,17.10
2990,13/12/2010,26,2,33,32,38,43,39,11,0,0,0.00,0.00,8,0,51733.20,6466.65,135,44,94844.25,702.55,8634,1515,268949.10,31.15,23149,3031,370384.00,16.00
2988,06/12/2010,16,8,25,1,33,39,19,32,1,0,1000000.00,1000000.00,22,4,49888.30,2267.65,222,24,91464.00,412.00,10152,1224,259383.60,25.55,26687,3247,357605.80,13.40
2986,29/11/2010,33,34,4,15,12,28,6,22,1,1,2000000.00,2000000.00,16,0,55264.00,3454.00,195,25,101322.00,519.60,10947,1397,287358.75,26.25,30149,3905,396459.35,13.15
2984,22/11/2010,20,11,4,22,30,38,24,36,2,0,2000000.00,1000000.00,17,0,56527.55,3325.15,311,45,103640.75,333.25,14307,1766,294008.85,20.55,31412,3938,405214.80,12.90
2982,15/11/2010,32,12,10,45,28,30,40,5,1,0,5000000.00,5000000.00,22,3,86490.80,3931.40,328,29,158571.60,483.45,16142,2401,449554.70,27.85,44533,7010,619008.70,13.90
2980,08/11/2010,31,6,32,20,7,42,33,29,1,0,2000000.00,2000000.00,4,1,53819.20,13454.80,152,12,98670.80,649.15,8604,1158,280060.20,32.55,22778,3160,386087.10,16.95
2978,01/11/2010,2,6,13,11,26,20,40,14,5,0,1000000.00,200000.00,21,3,50103.90,2385.90,429,39,91848.90,214.10,15471,1557,260686.35,16.85,29507,3104,358510.05,12.15
2976,25/10/2010,2,26,21,41,3,27,22,19,1,1,1000000.00,1000000.00,11,2,50208.95,4564.45,153,23,92052.45,601.65,9393,1093,261125.40,27.80,25703,3043,359842.00,14.00
